time,latitude,longitude,summary,icon,sunriseTime,sunsetTime,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1179266400,50.061469,19.937423,,,1179284040,1179339720,1,,,,,,,12.69,1179301200,6.88,1179374040,12.63,1179301200,7.15,1179374040,9.07,0.88,,2.87,,,271,0.79,5,1179309600,9.326,,8.7,1179307200,13.55,1179276000,5.74,1179307140,13.27,1179276000
1106002800,50.061469,19.937423,,,1106029920,1106061120,0.3,,,,,,,3.27,1106056560,-6.4,1106110380,2.24,1106059980,-10.62,1106110740,-6.94,0.77,1011.7,1.2,,,63,0.26,1,1106042400,,,-8.38,1106026740,3.27,1106056560,-8.11,1106026740,2.24,1106059980
966808800,50.061469,19.937423,,,966829260,966880140,0.71,,,,,,,31.97,966869520,20.01,966917040,32.65,966863220,20.55,966920400,18.78,0.68,1011.7,2.23,,,306,0.08,7,966853200,,,19.41,966830400,31.97,966869520,20.15,966830520,32.65,966863220
1090792800,50.061469,19.937423,,,1090810980,1090866780,0.31,,,,,,,24.42,1090839420,14.32,1090904400,24.14,1090839420,14.59,1090904400,13.69,0.77,1012.1,1,,,126,0.62,5,1090839600,,,11.93,1090811100,24.42,1090839420,12.2,1090811100,24.14,1090839420
1574809200,50.061469,19.937423,Partly cloudy throughout the day.,partly-cloudy-day,1574835180,1574865960,0.04,,0.0007,0.0021,1574888220,0.02,rain,9.62,1574853720,3.67,1574915400,8.2,1574853480,2.68,1574915700,1.42,0.77,1006.3,1.48,3.62,1574845800,123,0.57,1,1574850180,16.093,254.2,1.08,1574830680,9.62,1574853720,-0.08,1574830740,8.2,1574853480
1211148000,50.061469,19.937423,,,1211165400,1211221620,0.49,,,,,,,13.47,1211173200,6.84,1211228400,13.19,1211173200,5.4,1211256480,8.71,0.89,,3.32,,,35,0.75,5,1211193420,9.307,,6.84,1211228400,13.52,1211150820,6.38,1211227080,13.24,1211150820
972338400,50.061469,19.937423,,,972364740,972401580,0.91,,,,,,,17.77,972392640,7.52,972450000,17.49,972392640,7.79,972450000,2.59,0.74,1021.9,2.55,,,258,0.28,2,972381600,,,-2.34,972366540,17.77,972392640,-2.07,972366540,17.49,972392640
1137884400,50.061469,19.937423,,,1137911280,1137943080,0.76,,,,,,,-17.87,1137932820,-26.6,1137985560,-24.62,1137946500,-32.3,1137989520,-20.86,0.76,1037.1,3.52,,,46,0.53,1,1137927120,,,-22.96,1137967200,-5.76,1137884400,-28.48,1137962280,-13.92,1137884400
1289948400,50.061469,19.937423,,,1289973480,1290005700,0.38,,,,,,,7.46,1289973600,5.84,1290043200,5.91,1290004200,4.24,1290053040,6.99,0.99,,2.56,,,71,0.83,1,1289989440,2.26,,6.91,1289952000,7.46,1289948400,4.48,1289948400,6.38,1289966400
1317160800,50.061469,19.937423,,,1317184560,1317227280,0.05,,,,,,,20.47,1317218400,5.86,1317271980,20.19,1317218400,4.67,1317272160,9.74,0.75,,1.7,,,279,0.62,3,1317200400,7.986,,7.92,1317243600,20.47,1317218400,8.19,1317243600,20.19,1317218400
1122674400,50.061469,19.937423,,,1122692880,1122748080,0.84,,,,,,,32.74,1122737760,19.92,1122786000,34.46,1122728100,20.43,1122786000,19.5,0.67,1011.3,2.38,,,297,0.28,7,1122717600,,,19.69,1122695340,32.74,1122737760,20.37,1122695400,34.46,1122728100
1441144800,50.061469,19.937423,Possible drizzle overnight.,partly-cloudy-day,1441166280,1441214700,0.66,,0,0,,0,,20.26,1441170000,12.67,1441253040,20.01,1441170000,12.94,1441253040,12.8,0.73,1013.5,1.65,4.03,1441184160,275,0.72,4,1441190400,9.351,,12.9,1441225080,22.82,1441156860,13.17,1441225080,22.54,1441156860
1011913200,50.061469,19.937423,,,1011939900,1011972180,0.38,,,,,,,8.17,1011938400,-1.3,1012017300,3.41,1011938400,-3.66,1012017300,-0.86,0.67,1013.1,6.98,,,256,0.69,1,1011952800,,,1.32,1011996000,8.19,1011937980,-2.33,1011996000,4.69,1011935100
1050271200,50.061469,19.937423,,,1050292260,1050341520,0.42,,,,,,,15.92,1050332400,3.21,1050378840,15.64,1050332400,-0.56,1050378840,1.7,0.64,1028.2,5.31,,,62,0.36,5,1050316740,,,2.65,1050292200,15.92,1050332400,-0.72,1050286620,15.64,1050332400
1004220000,50.061469,19.937423,,,1004246700,1004282760,0.39,,,,,,,11.46,1004277600,7.85,1004293200,11.18,1004277600,4.58,1004316540,4.84,0.86,1025.3,2.05,,,236,0.85,2,1004264580,,,3.21,1004223480,11.46,1004277600,2.62,1004237700,11.18,1004277600
1518217200,50.061469,19.937423,Possible light snow in the afternoon.,snow,1518242460,1518277860,0.85,0.2,0.0124,0.1275,1518269700,0.55,snow,0.49,1518265200,-2.99,1518304800,0.21,1518265200,-3.79,1518292860,-3.27,0.87,1018.1,1.08,1.71,1518226500,54,0.87,1,1518260460,3.63,,-2.53,1518297000,0.49,1518265200,-4.43,1518226260,0.21,1518265200
1128204000,50.061469,19.937423,,,1128228180,1128269880,0.98,,,,,,,13.71,1128262680,10.95,1128282000,13.43,1128262680,11.22,1128282000,9.3,0.94,1018.5,1.16,,,65,0.94,2,1128249000,,,7.64,1128230820,13.71,1128262680,7.91,1128230820,13.43,1128262680
1445814000,50.061469,19.937423,Foggy in the morning and overnight.,rain,1445836860,1445873400,0.47,,0.0048,0.0778,1445815800,0.54,rain,11.52,1445870160,-0.86,1445925600,11.24,1445870160,-0.59,1445925600,4.85,0.86,1027.1,0.78,1.81,1445817180,14,0.4,2,1445855040,6.824,,2.17,1445896800,11.52,1445870160,2.44,1445896800,11.24,1445870160
1082152800,50.061469,19.937423,,,1082173380,1082223480,0.94,,,,,,,13.28,1082206200,6.94,1082258640,13,1082206200,6.27,1082247360,6.12,0.79,1010.8,2.35,,,71,0.8,4,1082198520,,,6.15,1082160540,13.28,1082206200,3.94,1082160000,13,1082206200
1473026400,50.061469,19.937423,Possible light rain throughout the day.,rain,1473048180,1473095820,0.14,,0.1261,0.5148,1473054720,0.54,rain,19.12,1473087060,14.09,1473122400,18.84,1473087060,14.36,1473122400,14.28,0.86,1012.1,1.83,7.09,1473045420,279,0.68,4,1473071940,10.003,,14.91,1473109200,19.12,1473087060,15.18,1473109200,18.84,1473087060
1160085600,50.061469,19.937423,,,1160110140,1160151000,0.49,,,,,,,18.05,1160141760,3.91,1160186880,17.77,1160141760,4.18,1160186880,6.48,0.77,,1.69,,,240,0.19,3,1160130480,6.576,,4.91,1160110500,18.05,1160141760,5.18,1160110500,17.77,1160141760
