year,month,monthly_anomaly,monthly_unc,annual_anomaly,annual_unc,5y_anomaly,5y_unc,10y_anomaly,10y_unc,20y_anomaly,20y_unc
1750,1,1.331,3.087,0.564,1.254,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,2.436,6.010,0.594,1.256,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,2.804,3.330,0.586,1.269,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.799,4.030,0.517,1.274,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-0.373,4.622,0.202,1.157,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,0.250,6.254,0.076,1.187,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,1.389,5.192,-0.108,1.178,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,1.352,5.190,-0.578,1.191,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,0.178,2.638,-0.663,1.183,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-2.275,2.914,-0.843,1.182,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-4.951,1.677,-0.740,1.097,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.024,8.936,-0.734,1.074,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-0.886,4.039,-0.736,1.011,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-3.195,9.554,-0.682,1.018,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,1.782,2.721,-0.672,1.007,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.362,2.599,-0.551,1.004,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,0.863,12.633,-0.317,1.000,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,0.323,6.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,1.358,9.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,2.006,6.757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,0.293,4.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,-0.822,5.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-2.143,2.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-0.609,6.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,1.268,1.908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,1.032,3.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-0.546,4.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,-0.275,1.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,1.005,2.300,0.515,1.924,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,1.720,1.584,0.530,0.987,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,0.665,1.038,0.398,0.526,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,0.831,1.574,0.478,0.758,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,0.208,3.322,0.603,0.858,NaN,NaN,NaN,NaN,NaN,NaN
1752,11,0.640,2.106,0.668,0.679,NaN,NaN,NaN,NaN,NaN,NaN
1752,12,0.238,5.733,0.569,0.522,NaN,NaN,NaN,NaN,NaN,NaN
1753,1,-0.432,3.372,0.435,0.379,NaN,NaN,NaN,NaN,NaN,NaN
1753,2,-0.305,9.399,0.360,0.463,NaN,NaN,NaN,NaN,NaN,NaN
1753,3,1.987,5.279,0.321,1.368,NaN,NaN,NaN,NaN,NaN,NaN
1753,4,0.959,4.001,0.350,1.482,NaN,NaN,NaN,NaN,NaN,NaN
1753,5,0.497,5.454,0.198,1.647,NaN,NaN,NaN,NaN,NaN,NaN
1753,6,-0.175,4.313,-0.126,1.207,NaN,NaN,NaN,NaN,NaN,NaN
1753,7,0.105,3.375,-0.085,1.245,NaN,NaN,NaN,NaN,NaN,NaN
